time,beds_used,available_beds,queue_length,bed_utilization,queue_full,system_pressure,over_capacity_pressure
0.0,0,10,0,0.0,False,0,False
1.0,1,9,0,0.1,False,1,False
2.0,1,9,0,0.1,False,1,False
3.0,1,9,0,0.1,False,1,False
4.0,2,8,0,0.2,False,2,False
5.0,2,8,0,0.2,False,2,False
6.0,3,7,0,0.3,False,3,False
7.0,3,7,0,0.3,False,3,False
8.0,4,6,0,0.4,False,4,False
9.0,5,5,0,0.5,False,5,False
10.0,5,5,0,0.5,False,5,False
11.0,5,5,0,0.5,False,5,False
12.0,6,4,0,0.6,False,6,False
13.0,6,4,0,0.6,False,6,False
14.0,7,3,0,0.7,False,7,False
15.0,6,4,0,0.6,False,6,False
16.0,6,4,0,0.6,False,6,False
17.0,7,3,0,0.7,False,7,False
18.0,7,3,0,0.7,False,7,False
19.0,7,3,0,0.7,False,7,False
20.0,8,2,0,0.8,False,8,False
21.0,8,2,0,0.8,False,8,False
22.0,8,2,0,0.8,False,8,False
23.0,8,2,0,0.8,False,8,False
24.0,7,3,0,0.7,False,7,False
25.0,7,3,0,0.7,False,7,False
26.0,8,2,0,0.8,False,8,False
27.0,8,2,0,0.8,False,8,False
28.0,9,1,0,0.9,False,9,False
29.0,10,0,0,1.0,False,10,False
30.0,9,1,0,0.9,False,9,False
31.0,10,0,0,1.0,False,10,False
32.0,10,0,0,1.0,False,10,False
33.0,10,0,0,1.0,False,10,False
34.0,10,0,1,1.0,False,11,True
35.0,10,0,1,1.0,False,11,True
36.0,10,0,2,1.0,False,12,True
37.0,10,0,1,1.0,False,11,True
38.0,10,0,0,1.0,False,10,False
39.0,10,0,1,1.0,False,11,True
40.0,10,0,1,1.0,False,11,True
41.0,10,0,0,1.0,False,10,False
42.0,10,0,0,1.0,False,10,False
43.0,10,0,0,1.0,False,10,False
44.0,10,0,1,1.0,False,11,True
45.0,10,0,1,1.0,False,11,True
46.0,10,0,0,1.0,False,10,False
47.0,10,0,1,1.0,False,11,True
48.0,10,0,0,1.0,False,10,False
49.0,10,0,0,1.0,False,10,False
50.0,9,1,0,0.9,False,9,False
51.0,10,0,0,1.0,False,10,False
52.0,10,0,0,1.0,False,10,False
53.0,10,0,0,1.0,False,10,False
54.0,10,0,0,1.0,False,10,False
55.0,10,0,0,1.0,False,10,False
56.0,9,1,0,0.9,False,9,False
57.0,9,1,0,0.9,False,9,False
58.0,10,0,0,1.0,False,10,False
59.0,10,0,0,1.0,False,10,False
60.0,9,1,0,0.9,False,9,False
61.0,9,1,0,0.9,False,9,False
62.0,9,1,0,0.9,False,9,False
63.0,10,0,0,1.0,False,10,False
64.0,9,1,0,0.9,False,9,False
65.0,8,2,0,0.8,False,8,False
66.0,8,2,0,0.8,False,8,False
67.0,9,1,0,0.9,False,9,False
68.0,9,1,0,0.9,False,9,False
69.0,9,1,0,0.9,False,9,False
70.0,9,1,0,0.9,False,9,False
71.0,8,2,0,0.8,False,8,False
72.0,8,2,0,0.8,False,8,False
73.0,9,1,0,0.9,False,9,False
74.0,9,1,0,0.9,False,9,False
75.0,8,2,0,0.8,False,8,False
76.0,8,2,0,0.8,False,8,False
77.0,8,2,0,0.8,False,8,False
