time,beds_used,available_beds,queue_length,bed_utilization,queue_full,system_pressure,over_capacity_pressure
0.0,0,10,0,0.0,False,0,False
1.0,1,9,0,0.1,False,1,False
2.0,1,9,0,0.1,False,1,False
3.0,2,8,0,0.2,False,2,False
4.0,2,8,0,0.2,False,2,False
5.0,3,7,0,0.3,False,3,False
6.0,3,7,0,0.3,False,3,False
7.0,4,6,0,0.4,False,4,False
8.0,4,6,0,0.4,False,4,False
9.0,5,5,0,0.5,False,5,False
10.0,5,5,0,0.5,False,5,False
11.0,6,4,0,0.6,False,6,False
12.0,7,3,0,0.7,False,7,False
13.0,7,3,0,0.7,False,7,False
14.0,8,2,0,0.8,False,8,False
15.0,8,2,0,0.8,False,8,False
16.0,9,1,0,0.9,False,9,False
17.0,9,1,0,0.9,False,9,False
18.0,10,0,0,1.0,False,10,False
19.0,10,0,0,1.0,False,10,False
20.0,10,0,0,1.0,False,10,False
21.0,10,0,0,1.0,False,10,False
22.0,10,0,0,1.0,False,10,False
23.0,10,0,1,1.0,False,11,True
24.0,10,0,1,1.0,False,11,True
25.0,10,0,2,1.0,False,12,True
26.0,10,0,3,1.0,False,13,True
27.0,10,0,3,1.0,False,13,True
28.0,10,0,2,1.0,False,12,True
29.0,10,0,2,1.0,False,12,True
30.0,10,0,1,1.0,False,11,True
31.0,10,0,2,1.0,False,12,True
32.0,10,0,1,1.0,False,11,True
33.0,10,0,1,1.0,False,11,True
34.0,10,0,1,1.0,False,11,True
35.0,10,0,2,1.0,False,12,True
36.0,10,0,2,1.0,False,12,True
37.0,10,0,2,1.0,False,12,True
38.0,10,0,2,1.0,False,12,True
39.0,10,0,2,1.0,False,12,True
40.0,10,0,1,1.0,False,11,True
41.0,10,0,2,1.0,False,12,True
42.0,10,0,2,1.0,False,12,True
43.0,10,0,2,1.0,False,12,True
44.0,10,0,3,1.0,False,13,True
45.0,10,0,3,1.0,False,13,True
46.0,10,0,3,1.0,False,13,True
47.0,10,0,3,1.0,False,13,True
48.0,10,0,4,1.0,False,14,True
49.0,10,0,3,1.0,False,13,True
50.0,10,0,3,1.0,False,13,True
51.0,10,0,3,1.0,False,13,True
52.0,10,0,2,1.0,False,12,True
53.0,10,0,3,1.0,False,13,True
54.0,10,0,2,1.0,False,12,True
55.0,10,0,2,1.0,False,12,True
56.0,10,0,1,1.0,False,11,True
57.0,10,0,1,1.0,False,11,True
58.0,10,0,1,1.0,False,11,True
59.0,10,0,2,1.0,False,12,True
60.0,10,0,2,1.0,False,12,True
61.0,10,0,3,1.0,False,13,True
62.0,10,0,3,1.0,False,13,True
63.0,10,0,3,1.0,False,13,True
64.0,10,0,3,1.0,False,13,True
65.0,10,0,3,1.0,False,13,True
66.0,10,0,3,1.0,False,13,True
67.0,10,0,2,1.0,False,12,True
68.0,10,0,2,1.0,False,12,True
69.0,10,0,3,1.0,False,13,True
70.0,10,0,2,1.0,False,12,True
71.0,10,0,2,1.0,False,12,True
72.0,10,0,3,1.0,False,13,True
73.0,10,0,3,1.0,False,13,True
74.0,10,0,2,1.0,False,12,True
75.0,10,0,2,1.0,False,12,True
76.0,10,0,3,1.0,False,13,True
77.0,10,0,3,1.0,False,13,True
