comparison,metric,scenario_a,scenario_b,mean_a,mean_b,gap_b_minus_a,practically_meaningful
Queue Policy vs. Base,admission_rate,base,priority,0.852248159873689,0.8246571723904401,-0.02759098748324884,False
Queue Policy vs. Base,rejection_rate,base,priority,0.14775184012631115,0.17534282760955985,0.027590987483248702,False
Queue Policy vs. Base,avg_waiting_time,base,priority,5.479935262476659,2.719276669628461,-2.7606585928481984,True
Queue Policy vs. Base,avg_bed_utilization,base,priority,0.9855339805825243,0.9820064724919094,-0.0035275080906148615,False
Queue Policy vs. Base,peak_queue_length,base,priority,5.0,5.0,0.0,False
Queue Policy vs. Base,pct_time_queue_full,base,priority,0.0978733240869163,0.02723069810448451,-0.07064262598243179,True
Queue Policy vs. Base,pct_time_under_pressure,base,priority,0.9277392510402219,0.8348127600554786,-0.09292649098474337,True
Queue Policy vs. Base,avg_length_of_stay,base,priority,29.310971845273727,27.317691221502535,-1.9932806237711915,True
Queue Policy vs. Base,rejection_rate_low,base,priority,0.10051866107680234,0.3672323114246284,0.26671365034782607,True
Queue Policy vs. Base,rejection_rate_medium,base,priority,0.16739754610803845,0.08839855823823774,-0.07899898786980071,True
Queue Policy vs. Base,rejection_rate_high,base,priority,0.2643180893180893,0.03493746993746994,-0.22938061938061938,True
Combined vs. Base,admission_rate,base,combined,0.852248159873689,0.9735239813268771,0.12127582145318816,True
Combined vs. Base,rejection_rate,base,combined,0.14775184012631115,0.0264760186731229,-0.12127582145318824,True
Combined vs. Base,avg_waiting_time,base,combined,5.479935262476659,1.214859689484037,-4.265075572992622,True
Combined vs. Base,avg_bed_utilization,base,combined,0.9855339805825243,0.9455463091385421,-0.03998767144398219,False
Combined vs. Base,peak_queue_length,base,combined,5.0,4.566666666666666,-0.43333333333333357,True
Combined vs. Base,pct_time_queue_full,base,combined,0.0978733240869163,0.0026352288488210814,-0.09523809523809522,True
Combined vs. Base,pct_time_under_pressure,base,combined,0.9277392510402219,0.4273693943596856,-0.5003698566805364,True
Combined vs. Base,avg_length_of_stay,base,combined,29.310971845273727,25.3018565442245,-4.009115301049228,True
Combined vs. Base,rejection_rate_low,base,combined,0.10051866107680234,0.06054870843051061,-0.039969952646291725,False
Combined vs. Base,rejection_rate_medium,base,combined,0.16739754610803845,0.010881775288967714,-0.15651577081907073,True
Combined vs. Base,rejection_rate_high,base,combined,0.2643180893180893,0.0,-0.2643180893180893,True
Combined vs. Capacity-alone,admission_rate,12beds,combined,0.9825354190198489,0.9735239813268771,-0.009011437692971747,False
Combined vs. Capacity-alone,rejection_rate,12beds,combined,0.01746458098015126,0.0264760186731229,0.009011437692971642,False
Combined vs. Capacity-alone,avg_waiting_time,12beds,combined,2.5258375679961564,1.214859689484037,-1.3109778785121193,True
Combined vs. Capacity-alone,avg_bed_utilization,12beds,combined,0.9592348589921406,0.9455463091385421,-0.013688549853598464,False
Combined vs. Capacity-alone,peak_queue_length,12beds,combined,4.966666666666667,4.566666666666666,-0.40000000000000036,True
Combined vs. Capacity-alone,pct_time_queue_full,12beds,combined,0.015811373092926486,0.0026352288488210814,-0.013176144244105405,False
Combined vs. Capacity-alone,pct_time_under_pressure,12beds,combined,0.6014331946370781,0.4273693943596856,-0.17406380027739254,True
Combined vs. Capacity-alone,avg_length_of_stay,12beds,combined,26.58577491645743,25.3018565442245,-1.2839183722329324,True
Combined vs. Capacity-alone,rejection_rate_low,12beds,combined,0.012005277468200801,0.06054870843051061,0.048543430962309814,False
Combined vs. Capacity-alone,rejection_rate_medium,12beds,combined,0.018259825786863908,0.010881775288967714,-0.007378050497896194,False
Combined vs. Capacity-alone,rejection_rate_high,12beds,combined,0.06647065897065897,0.0,-0.06647065897065897,True
Combined vs. Queue-Policy-alone,admission_rate,priority,combined,0.8246571723904401,0.9735239813268771,0.148866808936437,True
Combined vs. Queue-Policy-alone,rejection_rate,priority,combined,0.17534282760955985,0.0264760186731229,-0.14886680893643695,True
Combined vs. Queue-Policy-alone,avg_waiting_time,priority,combined,2.719276669628461,1.214859689484037,-1.5044169801444238,True
Combined vs. Queue-Policy-alone,avg_bed_utilization,priority,combined,0.9820064724919094,0.9455463091385421,-0.036460163353367325,False
Combined vs. Queue-Policy-alone,peak_queue_length,priority,combined,5.0,4.566666666666666,-0.43333333333333357,True
Combined vs. Queue-Policy-alone,pct_time_queue_full,priority,combined,0.02723069810448451,0.0026352288488210814,-0.024595469255663426,False
Combined vs. Queue-Policy-alone,pct_time_under_pressure,priority,combined,0.8348127600554786,0.4273693943596856,-0.407443365695793,True
Combined vs. Queue-Policy-alone,avg_length_of_stay,priority,combined,27.317691221502535,25.3018565442245,-2.0158346772780362,True
Combined vs. Queue-Policy-alone,rejection_rate_low,priority,combined,0.3672323114246284,0.06054870843051061,-0.3066836029941178,True
Combined vs. Queue-Policy-alone,rejection_rate_medium,priority,combined,0.08839855823823774,0.010881775288967714,-0.07751678294927003,True
Combined vs. Queue-Policy-alone,rejection_rate_high,priority,combined,0.03493746993746994,0.0,-0.03493746993746994,False
