,admission_rate,rejection_rate,avg_waiting_time,avg_bed_utilization,peak_queue_length,pct_time_queue_full,pct_time_under_pressure,avg_length_of_stay,rejection_rate_low,rejection_rate_medium,rejection_rate_high
Base (10/FIFO/Uniform),0.852248159873689,0.14775184012631115,5.479935262476659,0.9855339805825243,5.0,0.0978733240869163,0.9277392510402219,29.310971845273727,0.10051866107680234,0.16739754610803845,0.2643180893180893
Queue Policy (10/Priority/Uniform),0.8246571723904401,0.17534282760955985,2.719276669628461,0.9820064724919094,5.0,0.02723069810448451,0.8348127600554786,27.317691221502535,0.3672323114246284,0.08839855823823774,0.03493746993746994
Capacity (10 beds/FIFO/Uniform),0.8565250673395063,0.14347493266049366,5.419010148528444,0.9854091539528433,5.0,0.09676375404530743,0.9294960702727694,29.229680106937973,0.08525625806554826,0.1663823645341453,0.34070170570170577
Capacity (11 beds/FIFO/Uniform),0.9309003183844421,0.069099681615558,4.466247656918417,0.981061656789812,5.0,0.05265834489135459,0.8531668978270922,28.423805651378903,0.034116997508730054,0.08287581561494903,0.13874051874051874
Capacity (12 beds/FIFO/Uniform),0.9825354190198489,0.01746458098015126,2.5258375679961564,0.9592348589921406,4.966666666666667,0.015811373092926486,0.6014331946370781,26.58577491645743,0.012005277468200801,0.018259825786863908,0.06647065897065897
Capacity (14 beds/FIFO/Uniform),1.0,0.0,0.12893543196146787,0.8334852387556964,2.6333333333333333,4.6232085067036525e-05,0.05053166897827091,24.11662130645716,0.0,0.0,0.0
Capacity (16 beds/FIFO/Uniform),1.0,0.0,0.005101257136284535,0.7269157420249653,0.7,0.0,0.0021729079981507166,23.938414511595074,0.0,0.0,0.0
Capacity (18 beds/FIFO/Uniform),1.0,0.0,0.00010538088985037398,0.6479401037653465,0.03333333333333333,0.0,4.6232085067036525e-05,23.957507340704918,0.0,0.0,0.0
Capacity (20 beds/FIFO/Uniform),1.0,0.0,0.0,0.582766990291262,0.0,0.0,0.0,23.897319400669236,0.0,0.0,0.0
Capacity (24 beds/FIFO/Uniform),1.0,0.0,0.0,0.48709932192941896,0.0,0.0,0.0,23.98987510783423,0.0,0.0,0.0
Combined (12/Priority/Uniform),0.9735239813268771,0.0264760186731229,1.214859689484037,0.9455463091385421,4.566666666666666,0.0026352288488210814,0.4273693943596856,25.3018565442245,0.06054870843051061,0.010881775288967714,0.0
Stress (10_fifo/Exponential),0.8089585738860542,0.1910414261139458,3.7741734700330554,0.9507258437355525,5.0,0.10032362459546924,0.694868238557559,27.718887375820444,0.15901604154402013,0.20254009234424603,0.30900437525437524
Stress (10_priority/Exponential),0.7818309854011317,0.21816901459886834,2.285695391173802,0.939704114655571,5.0,0.07420249653259361,0.6271844660194174,26.75076128107462,0.36800619950996016,0.14693737228386666,0.09544566544566546
Stress (12_fifo/Exponential),0.9232107222955073,0.07678927770449272,2.1690021166921127,0.889921405455386,5.0,0.04641701340730466,0.43495145631067955,26.103848426310876,0.0614168159700409,0.08342295882382864,0.12291366041366042
Stress (12_priority/Exponential),0.9007236473262387,0.09927635267376139,1.3984569651709375,0.8779858221605795,5.0,0.03522884882108183,0.39500693481276006,25.516819332556405,0.1699044778602853,0.06609671885174205,0.04689393939393939
