scenario-metric,mean,low_ci,high_ci,n_replications
admission_rate__base,0.852248159873689,0.8464678628705596,0.8580284568768183,30.0
admission_rate__12beds,0.9825354190198489,0.9776815874250446,0.9873892506146531,30.0
admission_rate__priority,0.8246571723904401,0.8170588213695424,0.8322555234113378,30.0
admission_rate__combined,0.9735239813268771,0.9696047314357685,0.9774432312179857,30.0
rejection_rate__base,0.14775184012631115,0.1419715431231818,0.1535321371294405,30.0
rejection_rate__12beds,0.01746458098015126,0.012610749385346995,0.022318412574955523,30.0
rejection_rate__priority,0.17534282760955985,0.1677444765886622,0.1829411786304575,30.0
rejection_rate__combined,0.0264760186731229,0.02255676878201432,0.030395268564231484,30.0
avg_waiting_time__base,5.479935262476659,5.386643715906943,5.573226809046376,30.0
avg_waiting_time__12beds,2.5258375679961564,2.282354693032039,2.769320442960274,30.0
avg_waiting_time__priority,2.719276669628461,2.6666054560683596,2.7719478831885622,30.0
avg_waiting_time__combined,1.214859689484037,1.1233315751311554,1.3063878038369188,30.0
avg_bed_utilization__base,0.9855339805825243,0.9848528365780831,0.9862151245869655,30.0
avg_bed_utilization__12beds,0.9592348589921406,0.9555033037861609,0.9629664141981202,30.0
avg_bed_utilization__priority,0.9820064724919094,0.9811029772525491,0.9829099677312697,30.0
avg_bed_utilization__combined,0.9455463091385421,0.9412852940407335,0.9498073242363507,30.0
peak_queue_length__base,5.0,5.0,5.0,30.0
peak_queue_length__12beds,4.966666666666667,4.898492345262244,5.03484098807109,30.0
peak_queue_length__priority,5.0,5.0,5.0,30.0
peak_queue_length__combined,4.566666666666666,4.378467384918179,4.754865948415154,30.0
pct_time_queue_full__base,0.0978733240869163,0.09223322899323491,0.1035134191805977,30.0
pct_time_queue_full__12beds,0.015811373092926486,0.010857644806117745,0.020765101379735227,30.0
pct_time_queue_full__priority,0.02723069810448451,0.023931341415820262,0.030530054793148756,30.0
pct_time_queue_full__combined,0.0026352288488210814,0.0014944689758844942,0.0037759887217576685,30.0
pct_time_under_pressure__base,0.9277392510402219,0.9210467111207007,0.9344317909597432,30.0
pct_time_under_pressure__12beds,0.6014331946370781,0.5632518318454582,0.639614557428698,30.0
pct_time_under_pressure__priority,0.8348127600554786,0.8254338271548753,0.8441916929560818,30.0
pct_time_under_pressure__combined,0.4273693943596856,0.39988019354837107,0.4548585951710001,30.0
avg_length_of_stay__base,29.310971845273727,29.142139060799977,29.479804629747477,30.0
avg_length_of_stay__12beds,26.58577491645743,26.284818908878485,26.886730924036378,30.0
avg_length_of_stay__priority,27.317691221502535,27.16650182989723,27.468880613107842,30.0
avg_length_of_stay__combined,25.3018565442245,25.130882054359677,25.47283103408932,30.0
rejection_rate_low__base,0.10051866107680234,0.09181324342034221,0.10922407873326247,30.0
rejection_rate_low__12beds,0.012005277468200801,0.006341167067169279,0.017669387869232323,30.0
rejection_rate_low__priority,0.3672323114246284,0.35094085251011786,0.383523770339139,30.0
rejection_rate_low__combined,0.06054870843051061,0.05029061684387153,0.0708068000171497,30.0
rejection_rate_medium__base,0.16739754610803845,0.15918287331299386,0.17561221890308304,30.0
rejection_rate_medium__12beds,0.018259825786863908,0.012850458913375988,0.023669192660351827,30.0
rejection_rate_medium__priority,0.08839855823823774,0.08185228299999954,0.09494483347647593,30.0
rejection_rate_medium__combined,0.010881775288967714,0.008029251540547481,0.013734299037387947,30.0
rejection_rate_high__base,0.2643180893180893,0.19247015360568592,0.3361660250304927,30.0
rejection_rate_high__12beds,0.06647065897065897,0.03354515986314575,0.0993961580781722,30.0
rejection_rate_high__priority,0.03493746993746994,0.011545246389957294,0.058329693484982584,30.0
rejection_rate_high__combined,0.0,0.0,0.0,30.0
